Lista de Eventos - A MOSTRAR 200 REGISTOS
Tipo;"Data";"Fonte";"Categoria";"ID do Evento";"Utilizador";"Computador"
Erro;"2025-03-19 09:23:33";"Application Popup";"0 - (0)";"1060";"N/A";"BYOD-EDUARDO"
Aviso;"2025-03-19 09:23:33";"Microsoft-Windows-Kernel-PnP";"0 - (212)";"219";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O driver \Driver\ibtavflt falhou ao carregar para o dispositivo BTHENUM\{0000110e-0000-1000-8000-00805f9b34fb}_VID&00010075_PID&0100\7&2abc69ae&1&70FD46432E45_C00000000."
Informação;"2025-03-19 09:23:33";"Application Popup";"0 - (0)";"26";"N/A";"BYOD-EDUARDO"
Erro;"2025-03-19 09:23:33";"Application Popup";"0 - (0)";"1060";"N/A";"BYOD-EDUARDO"
Aviso;"2025-03-19 09:23:33";"Microsoft-Windows-Kernel-PnP";"0 - (212)";"219";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O driver \Driver\ibtavflt falhou ao carregar para o dispositivo BTHENUM\{0000110e-0000-1000-8000-00805f9b34fb}_VID&000105d6_PID&000a\7&2abc69ae&1&53865D3A6D1D_C00000000."
Informação;"2025-03-19 09:23:33";"Application Popup";"0 - (0)";"26";"N/A";"BYOD-EDUARDO"
Aviso;"2025-03-19 09:23:32";"BTHUSB";"0 - (0)";"34";"N/A";"BYOD-EDUARDO";"O adaptador local não dá suporte a um estado de controlador de baixo consumo importante para compatibilidade com modo periférico. O valor mínimo necessário de máscara de estado com suporte é 0x2491f7fffff; valor obtido: 0x1fffffff. A funcionalidade de periférico de baixo consumo não estará disponível."
Informação;"2025-03-19 09:23:32";"BTHUSB";"0 - (0)";"18";"N/A";"BYOD-EDUARDO";"O Windows não pode armazenar códigos de autenticação Bluetooth (chaves de link) no adaptador local. Os teclados Bluetooth podem não funcionar no BIOS do sistema durante a inicialização."
Informação;"2025-03-19 09:23:28";"Netwtw04";"0 - (0)";"7010";"N/A";"BYOD-EDUARDO";"7010 - driver enabled (miniport init)"
Informação;"2025-03-19 09:23:27";"MEIx64";"0 - (0)";"2";"N/A";"BYOD-EDUARDO";"Intel(R) Management Engine Interface driver has started successfully."
Informação;"2025-03-19 09:23:27";"Netwtw04";"0 - (0)";"7036";"N/A";"BYOD-EDUARDO";"O serviço \Device\NDMP1 entrou no estado Intel(R) Dual Band Wireless-AC 3165."
Informação;"2025-03-19 09:23:27";"Microsoft-Windows-Kernel-Power";"0 - (220)";"521";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Alteração na contagem de bateria ativa."
Informação;"2025-03-19 09:23:27";"Microsoft-Windows-Kernel-Power";"0 - (220)";"521";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Alteração na contagem de bateria ativa."
Informação;"2025-03-19 09:23:27";"Microsoft-Windows-Kernel-Processor-Power";"0 - (47)";"55";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O processador 7 no grupo 0 expõe os seguintes recursos de gerenciamento de energia:



Tipo de estado ocioso: Estados da ACPI Ocioso (C) (3 estado(s))



Tipo de estado de desempenho: Controle de Desempenho do Processador Colaborativo ACPI

Frequência Nominal (MHz): 1992

Percentual de desempenho máximo: 200

Percentual de desempenho mínimo: 45

Percentual de aceleração mínimo: 5"
Informação;"2025-03-19 09:23:27";"Microsoft-Windows-Kernel-Processor-Power";"0 - (47)";"55";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O processador 5 no grupo 0 expõe os seguintes recursos de gerenciamento de energia:



Tipo de estado ocioso: Estados da ACPI Ocioso (C) (3 estado(s))



Tipo de estado de desempenho: Controle de Desempenho do Processador Colaborativo ACPI

Frequência Nominal (MHz): 1992

Percentual de desempenho máximo: 200

Percentual de desempenho mínimo: 45

Percentual de aceleração mínimo: 5"
